objId,type,ra,dec,u,g,r,i,z
5.87739E+17,GALAXY,186.4114545,14.15068706,19.124382,17.472786,16.81263,16.611019,17.307262
5.87739E+17,GALAXY,186.3815089,14.15260602,18.924515,17.162678,16.502949,16.229504,16.36908
5.87739E+17,GALAXY,187.3787372,14.04907882,15.378184,13.627496,12.895624,12.501562,12.253489
5.87739E+17,GALAXY,187.2769026,14.00491935,18.287434,16.832573,16.164164,15.803596,15.678591
5.87739E+17,GALAXY,187.4634199,14.06647999,18.619501,19.775076,16.679848,16.030453,16.279835
5.87739E+17,GALAXY,188.1712731,14.0425642,15.864047,15.341681,14.917964,15.247284,15.869284
5.87739E+17,GALAXY,185.8010823,14.38894849,16.427395,15.160147,14.695912,14.346822,14.175862
5.87739E+17,GALAXY,185.8067882,14.43702665,17.966185,16.860329,16.448574,16.158241,15.999249
5.87739E+17,GALAXY,186.1892747,14.37062692,17.661879,16.554014,16.079346,15.819002,15.607666
5.87739E+17,GALAXY,186.1982377,14.57641479,19.834921,18.582125,18.080177,17.441257,17.436613
5.87739E+17,GALAXY,186.9064831,14.45557116,17.275816,15.840836,15.206431,14.915188,14.728177
5.87739E+17,GALAXY,187.2898188,14.52366309,18.842104,17.038919,16.061262,15.564848,15.138824
5.87739E+17,GALAXY,187.7949372,14.36742359,18.744301,17.453125,16.82003,16.453606,16.174913
5.87739E+17,GALAXY,185.8460772,14.8050219,18.687607,17.437752,17.089989,16.867542,16.766264
5.87739E+17,GALAXY,185.9492291,14.79791276,18.831169,17.493473,16.808048,16.430359,16.152391
5.87739E+17,GALAXY,186.0202477,14.95956297,17.956108,16.778034,16.329592,16.121389,15.925694
5.87739E+17,GALAXY,186.1203017,14.98700344,18.578693,17.525085,16.963707,16.6889,16.467997
5.87739E+17,GALAXY,186.4480913,14.95200889,16.57593,15.480377,14.979901,14.733631,14.637545
5.87739E+17,GALAXY,186.3464936,14.80348275,19.010855,17.526617,16.888769,16.649536,16.489573
5.87739E+17,GALAXY,187.1341453,14.88953111,19.103287,17.779079,17.379007,17.18675,17.226166
5.87739E+17,GALAXY,187.1685948,14.78795781,19.702316,18.098269,17.595427,17.400082,17.323109
5.87739E+17,GALAXY,187.3384645,14.78931139,17.388964,15.567158,14.773105,14.380507,14.071273
5.87739E+17,GALAXY,187.5056329,14.87376774,17.83563,16.445883,15.805033,15.467773,15.203203
5.87739E+17,GALAXY,187.9072592,14.85978462,15.595979,14.798037,14.547649,14.368544,14.156884
