objid,modelmag_u,modelmag_g,modelmag_r,modelmag_i,modelmag_z,z
587728948511768616,19.113,18.725,18.696,18.693,18.599,0.732
588848899900637257,19.682,19.233,19.014,18.945,18.806,2.188
588848898826895463,19.67,19.56,18.871,18.332,18.266,0.228
587728947974963298,18.391,18.22,18.023,17.679,17.638,1.668
588848899363700818,17.629,17.482,17.24,17.281,17.395,1.242
587728948511703193,19.48,19.206,19.13,18.955,19.008,1.561
588848898826829920,19.466,19.186,18.679,18.253,18.106,0.214
588848898826764492,21.631,19.388,19.017,18.917,18.887,3.097
587728948511637570,18.821,18.748,18.486,18.43,18.399,1.355
588848900437508140,18.372,18.046,18.174,17.894,17.78,0.602
587728949048705042,18.639,18.266,18.086,18.035,18.048,1.401
587728949585510448,19.13,18.981,18.916,18.625,18.63,1.703
587728949585641599,19.572,19.118,18.59,18.134,18.033,0.1
588848900437639193,18.848,18.701,18.682,18.481,18.476,1.75
587728949585969344,19.768,19.685,19.14,18.88,18.307,0.33
588848900974444652,16.011,16.072,16.047,15.702,15.893,0.178
587728949049098399,19.687,18.019,17.001,16.397,16.093,0.141
588848900974510169,19.255,19.128,18.95,18.94,18.965,1.268
587728949049229383,19.033,19.043,18.817,18.847,19.048,1.251
587728947976077546,21.06,20.693,20.13,19.778,19.31,0.376
588848898828075110,21.941,19.57,19.627,19.539,19.306,3.031
588848899902013521,19.139,18.991,18.715,18.589,18.575,1.404
588848898827878474,18.921,18.608,18.653,18.371,18.085,2.183
588848899364880480,19.441,19.237,19.022,18.957,18.788,0.956
587728948512948249,19.427,19.209,18.926,18.696,18.374,2.092
588848899901751385,19.619,19.115,18.992,19.009,18.91,0.81
588848898827681934,20.347,19.746,18.998,18.638,18.278,0.268
587728948512751765,19.107,18.841,18.626,18.399,18.335,1.491
587728948512751763,18.238,17.595,16.958,16.462,16.268,0.104
588848899901554754,19.032,18.683,18.502,18.408,18.178,2.149
588848899901554744,18.762,18.57,18.536,18.336,18.301,1.815
587728948512751746,19.432,18.988,18.727,18.539,18.601,1.477
