objid,modelmag_u,modelmag_g,modelmag_r,modelmag_i,modelmag_z,z
587727865646154615,24.923,23.728,20.889,20.261,19.504,3.883
587736899038216500,24.262,20.504,19.798,19.619,19.61,3.535
587736920510431635,23.643,20.262,18.63,18.398,18.021,3.821
587728669339943272,22.321,20.274,20.018,19.97,19.853,3.185
587736619868618967,24.354,21.059,20.394,20.278,20.059,3.395
587736781994459308,21.066,19.346,19.035,19.2,19.163,3.044
587726879425561033,26.622,21.444,20.251,20.093,20.116,3.745
587736524836307144,23.365,22.378,20.301,20.089,19.984,4.16
587736584979087980,24.491,21.988,20.214,18.977,18.699,4.529
587736941443154173,23.17,21.265,19.979,19.983,20.165,3.766
587736963456893009,21.908,20.198,19.96,19.864,19.837,3.196
587737825670005179,22.426,20.347,20.027,20.038,19.656,3.086
587739098054721675,23.146,20.208,19.546,19.416,19.2,3.481
587739114703421764,24.367,23.799,20.821,19.177,19.268,4.744
587728906102178201,25.392,21.911,20.45,20.135,20.041,3.931
587728930800009545,23.411,19.461,18.566,18.409,18.272,3.472
587737827285860711,25.148,21.266,20.206,20.084,19.898,3.6
587738195575112186,25.565,22.671,20.508,20.061,19.947,4.291
587728932418748522,23.238,20.21,19.483,19.284,19.103,3.453
587738411943854222,25.472,21.226,20.004,19.949,20.039,3.79
587738569779249436,23.729,22.41,20.157,19.812,19.615,4.242
587738615418650767,24.662,22.187,20.102,19.377,19.242,4.373
587729385535701070,20.481,19.1,18.867,18.717,18.694,3.027
587738617566658710,23.543,19.511,19.287,19.276,19.303,3.177
587738947201073753,25.671,21.146,20.477,20.208,20.305,3.313
587739132953886914,21.051,19.44,19.182,19.093,19.108,3.271
587739158185115994,24.904,21.691,20.38,20.19,20.107,3.58
587730774427697374,25.228,22.011,20.22,19.766,19.663,4.134
587739408392716347,22.731,19.988,18.8,18.694,18.573,3.63
587739608620138586,21.659,18.83,18.464,18.383,18.379,3.245
587729752210407893,22.806,20.376,19.971,19.696,19.566,3.181
587739377771806903,24.157,20.6,20.234,20.155,20.197,3.225
587739406767161517,24.871,21.323,20.153,19.991,20.276,3.798
587731890576425084,25.197,20.528,19.887,19.7,19.606,3.39
587732772662411400,24.826,20.803,20.166,19.96,19.943,3.295
587733080814059650,24.808,20.694,19.307,19.221,18.973,3.655
587733397565079752,24.252,19.42,18.657,18.524,18.406,3.504
588017571387015350,25.082,20.637,19.009,18.774,18.666,4.104
587725041172349091,22.047,19.898,19.626,19.577,19.534,3.013
587733440511017153,24.128,19.035,18.131,17.995,17.935,3.524
587733603721216150,22.413,19.874,19.58,19.661,19.629,3.104
587733605342249270,25.116,20.396,18.926,18.925,18.825,3.897
588017978882392178,23.055,20.478,20.048,19.981,20.194,3.21
588017979443970307,24.22,25.108,21.289,19.739,19.503,4.848
587729971249152199,21.459,19.543,19.327,19.317,19.157,3.307
587730023327203449,21.326,19.438,19.167,19.228,19.234,3.175
587739647282053291,22.815,20.758,19.667,19.577,19.43,3.821
587734690886320406,23.85,20.81,20.404,20.282,20.032,3.185
587734892747030721,22.578,22.02,20.228,20.146,19.843,4.248
588017947735556210,22.566,19.8,19.586,19.437,19.475,3.143
588017948821880975,24.994,19.887,18.795,18.677,18.559,3.741
588017977803014945,26.025,23.08,20.867,20.086,19.716,3.555
587732153091752498,24.249,20.555,19.348,19.366,19.498,3.739
587732471462428904,24.264,20.9,20.249,19.696,19.379,3.238
587732483269132628,23.621,21.88,20.176,19.838,19.513,4.067
587731185655873797,21.921,20.303,20.028,20.001,19.778,3.115
587732578837332597,22.7,20.763,20.465,20.162,19.99,3.198
587732582589202607,22.801,19.667,18.408,18.153,17.914,3.614
587732701793943690,20.77,19.025,18.651,18.546,18.486,3.143
588016840709964115,26.244,23.738,21.314,19.91,19.308,4.628
588016890633584750,21.889,19.596,19.276,19.053,18.997,3.167
587731522821095607,23.956,20.794,20.202,20.011,19.86,3.233
587731680655507626,23.192,20.241,19.578,19.442,19.281,3.388
587731869091168444,22.436,20.332,20.057,20.077,20.105,3.235
588015508197802150,25.123,21.428,19.777,19.374,19.361,4.327
588010359619584203,23.404,20.458,19.271,19.035,18.797,3.711
587732151494901897,26.373,20.659,19.64,19.527,19.581,3.693
587722982280659223,24.403,21.368,20.114,19.951,20.024,3.786
587732702869258356,25.436,19.658,18.675,18.403,18.248,3.466
587732771043606662,20.284,18.291,17.925,17.852,17.746,3.01
587732772123639926,21.893,19.553,19.231,19.204,19.257,3.293
588017627775959072,25.064,21.243,20.166,20.065,20.147,3.732
588017702941294712,20.332,19.054,18.864,18.88,18.866,3.108
587731513690488866,24.473,20.499,19.007,18.618,18.539,3.989
