objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,petroR50_r,petroR90_r,specobjid,specClass,redshift,plate,mjd,fiberid
587722982294290805,219.66058436,-0.78616822,18.863522,17.962683,17.424232,17.120655,16.958292,752,40,2,508,2.814713,5.354929,86634709307621376,2,0.194082,307,51663,134
587722982294421643,219.95846494,-0.70634952,18.06468,18.209846,17.896307,18.461771,18.568705,752,40,2,510,1.93494,5.638702,86634709160820736,2,6.09998E-3,307,51663,99
587722982294487339,220.04848874,-0.75329155,19.237108,17.98382,17.214268,16.766071,16.525476,752,40,2,511,1.835732,4.622229,86634709152432128,2,0.178807,307,51663,97
587722982294487342,220.05149974,-0.69130404,19.30765,17.917679,17.104231,16.655787,16.487928,752,40,2,511,4.345803,9.024883,86634709194375168,2,0.137923,307,51663,107
587722982294487367,220.08560345,-0.76779798,19.295776,17.932716,17.389975,17.043739,16.897636,752,40,2,511,2.791228,6.906347,86634708997242880,2,0.080336,307,51663,60
587722982294552803,220.18169147,-0.83120003,19.430929,18.414921,17.570564,17.143131,16.883829,752,40,2,512,1.709588,3.702528,86634708925939712,2,0.181558,307,51663,43
587722982294618253,220.33767541,-0.75953872,17.861105,16.688593,16.09885,15.632418,15.441211,752,40,2,513,3.111869,6.611268,86916180694007808,2,0.079917,308,51662,302
587722982294618268,220.35071563,-0.75184949,19.451984,18.178913,17.499714,17.102877,16.889982,752,40,2,513,1.435004,3.351515,86634708825276416,2,0.08005,307,51663,19
587722982294749339,220.67840157,-0.67530861,18.977701,17.440947,16.708769,16.268221,16.033611,752,40,2,515,3.028884,7.038332,86634708846247936,2,0.08003,307,51663,24
587722982294749637,220.73597626,-0.81084187,19.086571,17.678556,17.276596,17.042383,16.986267,752,40,2,515,3.158191,6.020898,86916180551401472,2,0.044989,308,51662,268
587722982294815005,220.78936811,-0.66081442,19.530245,18.74003,18.290815,17.918125,17.826859,752,40,2,516,1.245632,2.744316,86634708875608064,2,0.150188,307,51663,31
587722982294815105,220.86193543,-0.7209046,19.597137,17.471336,16.305155,15.821441,15.447985,752,40,2,516,2.444662,8.03591,86916180572372992,2,0.149865,308,51662,273
587722982295011581,221.29404766,-0.76710447,19.163057,18.034994,17.720955,17.486326,17.323906,752,40,2,519,2.148564,5.378352,86916180383629312,2,0.057628,308,51662,228
587722982295339166,222.04018154,-0.69329703,18.554869,17.6569,17.376474,17.183571,17.108658,752,40,2,524,2.17766,5.732062,86916180039696384,2,0.027551,308,51662,146
587722982295339271,221.97557756,-0.64693189,18.826433,17.500071,16.806339,16.420546,16.159922,752,40,2,524,4.220334,8.104727,86916180144553984,2,0.12368,308,51662,171
587722982295339434,221.93920763,-0.67532225,19.438484,18.104439,17.569832,17.254812,17.08658,752,40,2,524,3.803109,8.443588,86916180169719808,2,0.042651,308,51662,177
587722982295339611,222.04451976,-0.81647814,19.576708,18.282015,17.79118,17.496485,17.354258,752,40,2,524,3.845901,7.769602,86916180056473600,2,0.056003,308,51662,150
587722982295404708,222.08932066,-0.80754179,17.66139,16.223558,15.515194,15.120371,14.838476,752,40,2,525,4.603312,10.242097,86916180060667904,2,0.056278,308,51662,151
587722982295470273,222.23498477,-0.72718631,18.207973,16.72102,16.145275,15.994534,15.992412,752,40,2,526,6.29765,11.692849,86916180077445120,2,0.028083,308,51662,155
587722982295470301,222.25419584,-0.64771462,18.257053,16.31657,15.419966,14.998466,14.687428,752,40,2,526,2.270667,6.960023,86916180027113472,2,0.042395,308,51662,143
587722982295470336,222.29648223,-0.70189092,18.394234,17.346802,16.934511,16.668552,16.517233,752,40,2,526,2.579885,5.334073,86916179678986240,2,0.043475,308,51662,60
587722982295470366,222.31861682,-0.71125477,18.059401,16.49963,15.672404,15.211044,14.867665,752,40,2,526,3.024442,9.002416,86916179632848896,2,0.043105,308,51662,49
587722982295535769,222.49248737,-0.63134714,18.766462,17.69636,17.406181,17.226318,17.495501,752,40,2,527,4.484992,8.859619,86916179876118528,2,0.026487,308,51662,107
587722982295601386,222.57312732,-0.65014115,18.630741,16.891836,16.108023,15.727616,15.423519,752,40,2,528,2.240275,6.927516,86916179897090048,2,0.042782,308,51662,112
587722982295666751,222.7186128,-0.77487589,18.986521,17.631876,16.878738,16.607283,16.480936,752,40,2,529,0.790352,1.597309,86916179699957760,1,-1.47185E-4,308,51662,65
587722982295863478,223.237041,-0.78546302,18.774059,16.943638,16.05587,15.643258,15.308062,752,40,2,532,2.091367,5.369956,87199081344008192,2,0.078832,309,51994,241
587722982295863624,223.21327317,-0.73994406,18.281242,16.233122,15.25505,14.816873,14.456747,752,40,2,532,3.764477,12.456678,87199081419505664,2,0.077325,309,51994,259
587722982295929067,223.2906243,-0.63910834,18.400974,17.229445,16.756744,16.422049,16.240505,752,40,2,533,3.592636,6.999279,87199081398534144,2,0.077688,309,51994,254
587722982295994753,223.54567026,-0.77011907,19.397739,17.79397,17.070465,16.687479,16.41444,752,40,2,534,3.582881,7.227751,87199081218179072,2,0.083802,309,51994,211
587722982296125655,223.76978739,-0.7963747,19.209978,18.036726,17.479832,17.105219,16.966496,752,40,2,536,1.823917,4.711764,87199080861663232,2,0.076455,309,51994,126
587722982296125696,223.80670538,-0.72010723,19.348171,18.293194,17.800112,17.448719,17.265919,752,40,2,536,1.735044,4.277538,87199080903606272,2,0.085396,309,51994,136
587722982296191191,223.9415665,-0.83772082,19.297916,18.113209,17.591408,17.241766,17.063992,752,40,2,537,1.511307,4.293245,87199080752611328,2,0.101433,309,51994,100
587722982296191268,224.01560622,-0.65608231,18.397856,17.002941,16.322544,15.747064,15.746866,752,40,2,537,3.778167,7.426825,87199080748417024,2,0.099429,309,51994,99
587722982296191426,223.89428884,-0.79216942,19.494259,18.193323,17.667772,17.385859,17.299929,752,40,2,537,3.800102,7.890445,87199080731639808,2,0.085136,309,51994,95
587722982296322326,224.27866131,-0.74935937,18.924938,17.416212,16.778097,16.419275,16.153048,752,40,2,539,4.406826,9.705117,87199080559673344,2,0.086805,309,51994,54
587722982296781009,225.35533681,-0.75386647,19.21979,18.119759,17.524551,17.146032,16.936235,752,40,2,546,2.348095,5.175685,87480539199569920,2,0.146033,310,51990,255
587722982297174288,226.18667911,-0.67669906,19.329811,17.436897,16.491606,16.022549,15.675895,752,40,2,552,2.349698,6.794736,87760618471292928,2,0.093107,311,51665,293
587722982297239600,226.2977582,-0.82109458,18.57234,17.658136,17.262007,16.860039,16.803642,752,40,2,553,1.326735,3.08724,87480538536869888,2,0.113858,310,51990,97
587722982297305128,226.45103325,-0.70345514,17.33181,16.509497,16.272671,16.096537,16.005463,752,40,2,554,2.197471,6.386564,87480538381680640,2,0.035127,310,51990,60
587722982297305365,226.44529081,-0.71491037,17.326908,15.814108,15.129191,14.767243,14.475233,752,40,2,554,7.497992,16.713013,87760618475487232,2,0.035536,311,51665,294
587722982297305523,226.52331952,-0.64178614,19.498606,18.490841,17.888885,17.75997,17.540754,752,40,2,554,1.350928,3.184357,87480538373292032,2,0.034938,310,51990,58
587722982297502031,226.97698967,-0.83233193,18.730064,16.895065,15.951226,15.505424,15.171755,752,40,2,557,5.175186,11.072197,87480538176159744,2,0.121946,310,51990,11
587722982297633105,227.22922067,-0.78544061,18.545109,17.199875,16.639456,16.328817,16.13291,752,40,2,559,4.582584,9.348785,87760618274160640,2,0.070095,311,51665,246
587722982297633118,227.2411802,-0.70465115,18.659529,17.685291,17.343336,17.119629,16.962265,752,40,2,559,2.111129,5.445292,87760618320297984,2,0.037814,311,51665,257
587722982297633186,227.2784687,-0.80692765,18.689232,17.01214,16.163349,15.735619,15.391693,752,40,2,559,3.208235,7.579028,87760618265772032,2,0.069624,311,51665,244
587722982297633240,227.31937233,-0.67668733,18.990618,17.072262,16.077002,15.644857,15.300273,752,40,2,559,3.221859,10.416522,87760618148331520,2,0.09469,311,51665,216
587722982297698635,227.37580482,-0.77117021,17.056595,15.575507,14.87034,14.467824,14.165288,752,40,2,560,6.362788,13.846741,87760618093805568,2,0.037828,311,51665,203
587722982297698726,227.44005225,-0.75419743,18.919397,16.834913,15.895666,15.457971,15.098818,752,40,2,560,3.582997,12.439805,87760618110582784,2,0.059555,311,51665,207
587722982297764119,227.50392651,-0.71579243,18.948742,17.024042,15.967283,15.421792,14.99454,752,40,2,561,3.436527,10.419513,87760618131554304,2,0.070999,311,51665,212
587722982297764148,227.53534684,-0.63111953,18.85656,17.52663,16.870266,16.45183,16.19161,752,40,2,561,2.347642,6.218861,87760618114777088,2,0.081235,311,51665,208
587722982297764164,227.5474752,-0.80762861,19.116913,17.828255,17.201494,16.82696,16.569984,752,40,2,561,2.807969,5.675436,87760618097999872,2,0.090078,311,51665,204
587722982297764190,227.56314842,-0.81742322,19.262852,18.13199,17.567123,17.22171,17.053881,752,40,2,561,2.434179,5.105927,87760617796009984,2,0.125321,311,51665,132
587722982297764260,227.60991742,-0.68283334,19.473379,18.151346,17.486652,17.115004,16.867062,752,40,2,561,2.976924,6.839245,87760617754066944,2,0.090169,311,51665,122
587722982297829814,227.71770111,-0.82078395,18.762642,17.790173,17.528217,17.350164,17.286541,752,40,2,562,2.747308,6.095263,87760617766649856,2,0.054825,311,51665,125
587722982297895191,227.79640853,-0.79072711,19.159845,18.218975,17.588093,17.123819,16.814589,752,40,2,563,2.265234,4.991621,87760617812787200,2,0.15205,311,51665,136
587722982298026184,228.21172741,-0.73286235,19.252064,18.307934,17.797983,17.427813,17.231749,752,40,2,565,1.18584,2.620811,87760617489825792,2,0.054916,311,51665,59
587722982298026301,228.15372577,-0.79422181,18.64118,16.957884,16.15019,15.759774,15.460173,752,40,2,565,2.472872,6.158387,87760617477242880,2,0.05444,311,51665,56
587722982298157371,228.42436154,-0.77941039,19.155066,17.784885,17.10746,16.722544,16.430428,752,40,2,567,2.087348,5.26444,87760617317859328,2,0.040273,311,51665,18
