objid,ra,dec
588848900979228739,163.60869145,0.66373383
588848900979556625,164.35357199,0.78174159
588848900980539408,166.54908309,0.73880078
588848900982177965,170.27058932,0.78089412
588848900982833390,171.85233079,0.72629041
588848900986044478,179.18813297,0.74229452
588848900986634322,180.52341403,0.66142715
588848900988338362,184.44472068,0.64200147
588848900990828604,190.05085185,0.69566877
588848900990894279,190.21712408,0.75329604
588848900991156397,190.86418528,0.63160226
588848900991221943,191.05695227,0.70154987
588848900991353020,191.27687798,0.63609279
588848900991418583,191.40549678,0.72454593
588848900992139483,193.09213978,0.66988324
588848900992204977,193.2509461,0.82559238
588848901517869260,167.62562072,1.11938999
588848901518196848,168.31269076,1.08331727
588848901519245530,170.82329739,1.21036676
588848901522522295,178.31544091,1.2046068
588848901523374112,180.18146705,1.18217251
588848901523570798,180.58552826,1.19850988
588848901525733512,185.6189988,1.05707204
588848901526257813,186.73493072,1.21371921
588848901526257827,186.75564993,1.19333815
588848901528158380,191.12393044,1.14468497
588848901528289407,191.43805907,1.08153444
588848901529206934,193.49627678,1.12907788
588848901529927859,195.1420071,1.19855107
588848901529927865,195.14909606,1.12691208
587722952767439324,237.2011043,-0.06731435
587722981747916880,197.92439427,-1.06199157
587722981748047990,198.14058186,-1.09187545
587722981749555394,201.69044314,-1.08594997
587722981750407198,203.56332367,-1.08050765
587722981750997167,204.87969309,-1.05813707
587722981751259363,205.59373786,-1.05064338
587722981754011901,211.8418988,-1.09638366
587722981755650171,215.51947244,-1.05433604
587722982284787839,197.88379278,-0.71400272
587722982285312200,199.13319776,-0.81435232
587722982285508856,199.62862165,-0.78745739
587722982285836470,200.30168607,-0.68426988
587722982285836472,200.30482631,-0.64541082
587722982285901983,200.39984599,-0.69846622
587722982287802485,204.77762706,-0.72648435
587722982290620479,211.21558235,-0.64161065
587722982295863478,223.237041,-0.78546302
587722982297174288,226.18667911,-0.67669906
587722982823297250,201.61828439,-0.2903598
587722982829326566,215.42310838,-0.33770681
587722982833062165,223.93794445,-0.27354527
587722982834044995,226.18408724,-0.35196394
587722982834438584,227.13979952,-0.28913747
587722982835290270,229.09625845,-0.30143693
587722983358660832,198.18949631,0.18973389
587722983359643751,200.46628248,0.13937991
587722983359840441,200.8703278,0.07697569
587722983359840456,200.8834333,0.07180835
587722983360036986,201.32483289,0.01149585
587722983362134316,206.16311653,0.04028191
587722983364296855,211.03081541,0.14401656
587722983365738649,214.32783687,0.09456295
587722983365738714,214.39423969,0.20876786
587722983369408573,222.71914109,0.09450239
587722983370260723,224.66795353,0.02111212
587722983370981660,226.2977941,0.11729289
587722983372095824,228.90957028,0.17562478
587722983375044768,235.67750312,0.09000422
587722983898218514,204.28334871,0.45214052
587722983898480848,204.9210193,0.4593009
587722983898677541,205.43377208,0.44018426
587722983902806156,214.7789357,0.60264661
587722983903526945,216.40163164,0.59040874
587722983903985828,217.44493793,0.42414861
587722983903985892,217.49144761,0.5013236
587722983904116948,217.76045984,0.55565673
587722983905165592,220.18151037,0.46474154
587722983907786781,226.16757413,0.60451718
587722983910080924,231.48375652,0.5636914
587722984432402637,198.24791809,1.02448051
587722984432795748,199.08392332,0.86328499
587722984433254582,200.21202069,0.99742533
587722984433975439,201.81078723,0.97695094
587722984436728057,208.07124954,0.85723177
587722984439939285,215.42034283,1.0234221
587722984440791232,217.30229529,0.85043713
587724648180089001,172.60988009,-3.34272793
587724648181530729,175.92007898,-3.44962327
587724648182185998,177.39750129,-3.48814321
587724648182251688,177.63459385,-3.47420357
587724648182710426,178.65408625,-3.4693957
587724648184938726,183.82504029,-3.42939884
587724648185069659,183.99131492,-3.34202899
587724648185790636,185.68218991,-3.46121833
587724648185790706,185.77109013,-3.41249484
587724648185921631,186.06017506,-3.51585808
587724648186839120,188.08867164,-3.44952796
587724648186970147,188.39308692,-3.39998608
587724648187035796,188.63459154,-3.42828301
587724648189985042,195.37598632,-3.34202134
587724648190312614,196.09986737,-3.48353681
587724648190378144,196.24285391,-3.32120991
587724648191230117,198.20763914,-3.47090069
587724648192278691,200.55083717,-3.31983563
587724648192409804,200.91161331,-3.43352263
587724648717615249,174.11641052,-2.94156729
587724648719188134,177.75282941,-3.07641271
587724648719253699,177.86575758,-3.07325923
587724648722268355,184.85026182,-3.09092781
587724648723120260,186.70045023,-3.0568377
587724648726134941,193.72616208,-2.94733189
587724649254486088,174.17536423,-2.56041657
587724649255403614,176.33135686,-2.58252451
587724649256845607,179.63894796,-2.63272547
587724649257894012,181.91589012,-2.53527219
587724649258025053,182.20864738,-2.62905298
587724649263530055,194.78337323,-2.6124894
587724649263857816,195.57308439,-2.54225097
587724649263923357,195.72035161,-2.52054694
587724649263923418,195.75909015,-2.45644415
587724649266020550,200.53926938,-2.60787365
587724649792340113,176.35471845,-2.17163258
587724649794437301,181.25874395,-2.08491047
587724649795354763,183.30071905,-2.08177831
587724649796075680,184.89068819,-2.13090972
587724649796272270,185.34476362,-2.1523306
587724649797320874,187.82415215,-2.17067715
587724649797386373,187.97545982,-2.09720871
587724649798500366,190.47561615,-2.19341556
587724649798566045,190.63299319,-2.25621616
587724649798631532,190.85142469,-2.07299315
587724649800532049,195.10618928,-2.20049025
587724649800532139,195.21355878,-2.08119319
587724649801252998,196.83190087,-2.21825264
587724649801449631,197.1803471,-2.05099449
587724649803022358,200.82297644,-2.15108424
587724649803022453,200.82805752,-2.00725117
587724650327048270,171.44306145,-1.74434265
587724650328227959,174.23137666,-1.74908943
587724650331242619,181.0496938,-1.81404339
587724650332291269,183.44921681,-1.72693885
587724650333339740,185.79263682,-1.83807507
587724650334519320,188.51360414,-1.81304921
587724650335568084,191.01726288,-1.72244499
587724650335895667,191.68574676,-1.7644483
587724650335961182,191.87049107,-1.75445188
587724650336026750,192.04272726,-1.74700909
587724650336092284,192.07873066,-1.64766615
587724650336092335,192.18855394,-1.74960587
587724650336157732,192.28763082,-1.81626932
587724650336223430,192.51239585,-1.72591568
587724650336419958,192.85786455,-1.82805857
587724650337206512,194.67528464,-1.65988979
587724650337665154,195.75618066,-1.63905172
587724650337665156,195.75746658,-1.73814418
587724650338320494,197.21721584,-1.68160227
587724650338320552,197.29892,-1.72564953
587724650338582708,197.88634434,-1.80396989
587724650339696757,200.3581042,-1.69043967
587724650339827859,200.66329979,-1.63839049
587724650864705575,173.27407554,-1.36953255
587724650865229919,174.44126323,-1.30745386
587724650867065018,178.68893427,-1.42965398
587724650867458138,179.50602383,-1.37929778
587724650870603822,186.78210495,-1.35418998
587724650871062708,187.87771684,-1.35818513
587724650872569983,191.31453636,-1.38018562
587724650872963167,192.09915316,-1.3776394
587724650873553031,193.43446087,-1.41772114
587724650873749659,193.96777284,-1.30472375
587724650873946222,194.37089007,-1.34639043
587724650875912202,198.83402712,-1.2960939
587724650876108959,199.35894952,-1.25229142
587724650876305595,199.80618371,-1.24710934
587724650876633210,200.51187594,-1.33672185
587725039014314103,171.19507067,-3.6280922
587725039014510724,171.58790025,-3.51466726
587725039015952542,174.98045504,-3.56533847
587725039016673423,176.60572915,-3.5969201
587725039017656487,178.82522702,-3.72641444
587725039022833793,190.71853467,-3.57110879
587725039023554781,192.38945684,-3.55785046
587725039024865495,195.33769161,-3.56666603
587725039024930937,195.45178316,-3.67311986
587725039026307236,198.68568063,-3.61281765
587725039553609895,176.7322576,-3.14461598
587725039553675402,176.83767222,-3.22552971
587725039554068634,177.71715981,-3.13770929
587725039554134148,177.93200136,-3.20098499
587725039554134166,177.96695137,-3.12230119
587725039554199700,178.07773167,-3.17639575
587725039554723966,179.28515826,-3.23299496
587725039555182708,180.38915701,-3.1324681
587725039555575977,181.23157482,-3.136507
587725039556231301,182.72158615,-3.27594245
587725039556493362,183.33185652,-3.17941975
587725039559180510,189.53396582,-3.24843808
587725039559835793,190.93601004,-3.24195072
587725039560425634,192.25760273,-3.21716643
587725039560491033,192.43971481,-3.21204676
587725039563899054,200.27650068,-3.23977778
587725039564030047,200.56117553,-3.08818501
587725040089890968,175.43688905,-2.74128747
587725040090939482,177.71411085,-2.70845832
587725040093298701,183.16356111,-2.72125053
587725040096575543,190.66413322,-2.87830657
587725040097099842,191.91349916,-2.76253959
587725040097165552,192.06245756,-2.7402776
587725040097493233,192.76756487,-2.74531139
