agcnum,radeg,decdeg,vhel,sepmin
222118,184.9654, 5.9958, 1452,415.5273
220383,184.9725, 6.6656,  480,376.4837
226064,184.9813,15.7536,  128,205.6715
223262,185.0167, 5.4144, 2474,448.8468
  7385,185.0313, 7.6914, 2613,316.3741
220398,185.0908,12.1878,  236, 95.9444
222215,185.0971,13.8975,  296,114.0990
220399,185.1054, 6.9089, 2557,360.3520
223445,185.1279,13.5192, 2098,100.1344
229335,185.1363,16.1483,   52,223.1806
224272,185.1608, 5.9089,  978,418.0359
220409,185.1675,13.8889,  794,110.5684
223449,185.1825,14.6308,  587,142.3490
220412,185.2021, 5.6400, 2139,433.3493
224273,185.2037, 5.9817, 1772,413.2371
220418,185.2400, 6.3397,  817,391.7687
220419,185.2504,12.7258,  672, 80.9762
220422,185.2750,11.5956,  927,104.5445
226131,185.3050,10.6258, 2606,148.0894
  7407,185.3246,11.5100,  355,105.8164
220435,185.3633,15.0214, 1861,156.5081
  7414,185.4196,11.5006,  232,102.2497
  7418,185.4263,14.5978, 1146,132.7063
226067,185.4804,13.4694, -126, 80.9353
  7423,185.4813, 6.4511, 1258,382.4365
  7421,185.4825,11.9672,  152, 81.3107
  7424,185.4892, 8.6744,  851,252.1119
  7431,185.5229, 9.0431, 1066,230.2940
220450,185.5317,15.7989, 1298,195.3657
  7442,185.6304,15.5381,  148,178.7100
220456,185.6492,12.1575,    9, 66.9385
220457,185.6575, 8.2961, 1410,271.7852
  7445,185.6604,11.8006, 1442, 79.5083
220460,185.6604, 6.0144,  871,406.6138
  7441,185.6625, 6.6764, 2363,367.3136
220461,185.6654, 6.2269, 2836,393.9511
  7447,185.6758, 9.3322, 1250,211.1247
  7448,185.7200, 6.6794, 1539,366.6163
  7450,185.7288,15.8219, 1575,193.2419
220478,185.7808,13.7444, 1888, 78.9882
220479,185.7900,11.7258,  734, 77.6469
220483,185.8171, 7.6875, -324,305.9542
  7456,185.8183,11.3661, 1563, 94.4396
227958,185.8267, 5.6072, 1787,429.6129
220493,185.8683, 5.8164,  917,416.8664
  7465,185.9112, 6.9542, 1013,348.7548
  7470,185.9354,12.4778, -430, 43.4710
  7469,185.9521, 7.1861, 1420,334.6466
226326,185.9925, 7.4506, 1229,318.6066
220502,186.0012, 7.7853, 1118,298.6080
  7476,186.0058,12.2044, 2316, 48.1915
225022,186.0212, 8.2939, 1370,268.1927
  7474,186.0229, 7.0406, 1234,342.8530
  7477,186.0317, 6.6069,  727,368.6869
  7482,186.0612, 8.5364, 1092,253.4560
220525,186.1646, 8.5039,  877,254.6551
227889,186.2121, 7.8989,  797,290.5156
220537,186.2733, 5.3292, 2020,444.1437
  7498,186.3254, 5.7408, 1138,419.3278
220542,186.3400,13.0708, 1906, 27.0413
  7503,186.3421,10.0164,  963,163.3017
224232,186.3813,11.1583,  900, 95.0451
  7510,186.3879,12.2597, -141, 31.3123
  7513,186.4288, 7.2161,  993,330.6357
  7520,186.4454,12.6619, 2515, 11.6301
220555,186.4479,14.9519,  499,134.1753
  7519,186.4608,10.4586, 1101,136.2440
220558,186.4688, 5.8100, 1535,414.8952
  7518,186.4754, 7.5542, 1202,310.2713
  7526,186.4958,15.6708, -122,177.0525
220561,186.5058, 8.1931, 1304,271.9018
  7529,186.5300,16.1803, 1722,207.5246
  7528,186.5313,13.1128,  230, 24.1462
  7532,186.5492,12.9461, -302, 14.2770
220572,186.5767, 8.3500, 1089,262.4017
226080,186.5808,12.8917, 2246, 10.5872
  7537,186.6250, 8.8717, 1278,231.0806
  7538,186.6342,12.6103,  103,  6.7633
  7541,186.6946, 7.9186, 1390,288.2855
  7546,186.6967, 8.8844, 1272,230.3429
  7547,186.7100,11.5583, 1100, 70.0220
  7548,186.7129,13.1750,  -16, 27.5098
220594,186.7321, 9.8822,  981,170.5443
222857,186.7350,12.9614, 2151, 15.4757
  7551,186.7358,15.0469, -275,139.5628
220597,186.7467,14.7822, 1860,123.7277
  7556,186.7871, 5.8800, 1120,410.6799
  7557,186.7971, 7.2625,  932,327.7715
  7563,186.7992,15.8972, 2340,190.6952
  7561,186.7996, 9.4200,  437,198.4196
