agcnum,radeg,decdeg,distMpc,Vcmb,logL_V,logMH,gas2L_V,AbsMag_i,logL_i,gas2L_i,sepmin
227861,187.4975,  8.432, 16.6,  943., 8.20, 7.50,-0.6991,-16.08, 8.2636,-0.7636,262.47
223771,187.6346, 10.261, 16.7, 1432., 5.97, 7.41, 1.4449,-10.52, 6.0412, 1.3688,159.01
227967,187.6867,  5.822, 36.0, 2684., 7.89, 8.40, 0.5052,-15.02, 7.8393, 0.5607,418.71
224281,187.6750,  5.879, 35.8, 2670., 8.32, 8.24,-0.0809,-16.14, 8.2877,-0.0477,415.26
220704,187.7021, 12.045, 16.7, 1554., 7.84, 7.86, 0.0168,-14.42, 7.6008, 0.2592, 74.65
  7656,187.7487,  8.078, 16.4, 2074., 9.30, 7.59,-1.7128,-19.12, 9.4793,-1.8893,286.38
220724,187.8454, 11.493, 16.7, 1580., 8.46, 8.36,-0.0976,-16.52, 8.4418,-0.0818,102.48
  7666,187.9075, 14.859, 16.7, 2881., 8.77, 8.24,-0.5319,-17.16, 8.6975,-0.4575,148.11
  7676,187.9783, 15.123, 16.7, 2416., 9.09, 8.37,-0.7171,-18.19, 9.1092,-0.7392,163.92
220739,188.0237, 11.818, 16.7, 1236., 8.22, 7.99,-0.2335,-16.01, 8.2363,-0.2463, 97.92
220745,188.0950, 16.019, 16.7,  183., 8.41, 7.93,-0.4823,-16.53, 8.4456,-0.5156,215.19
220751,188.1392,  9.174, 16.4, 1487., 8.56, 8.00,-0.5635,-16.98, 8.6228,-0.6228,230.68
  7695,188.1746, 14.050, 16.7,  152., 9.09, 8.42,-0.6701,-18.17, 9.1017,-0.6817,120.12
220755,188.1933,  7.799, 16.4, 1659., 7.94, 7.18,-0.7580,-15.21, 7.9167,-0.7367,309.43
220768,188.2912, 11.347, 16.7,  455., 8.35, 7.53,-0.8160,-16.50, 8.4330,-0.9030,127.57
  7709,188.3763,  8.654, 16.4, 1548., 9.36, 9.47, 0.1100,-18.81, 9.3575, 0.1125,264.85
227895,188.3883,  6.050, 30.0, 2208., 6.96, 8.35, 1.3922,-13.43, 7.2056, 1.1444,413.63
  7711,188.4142,  9.173, 16.4, 2660., 9.61, 8.66,-0.9489,-19.38, 9.5840,-0.9240,237.39
