agcnum,radeg,decdeg,distMpc,Vcmb,logL_V,logMH,gas2L_V,AbsMag_i,logL_i,gas2L_i,sepmin
223691,187.1133,  6.946, 22.9, 1216., 7.89, 7.51,-0.3758,-14.80, 7.7500,-0.2400,347.79
  7596,187.1417,  8.639, 16.4,  900., 8.51, 7.52,-0.9925,-16.56, 8.4548,-0.9348,246.83
  7600,187.1692,  9.259, 22.9, 1192., 9.66, 8.55,-1.1087,-19.74, 9.7295,-1.1795,210.24
  7602,187.1800, 14.999, 16.7, 1990., 9.58, 7.89,-1.6917,-19.61, 9.6749,-1.7849,140.22
220645,187.2287,  9.421, 16.4, 1421., 8.01, 7.83,-0.1820,-15.57, 8.0602,-0.2302,201.20
222021,187.2308,  8.817, 16.4, 1640., 5.88, 7.67, 1.7921,-10.16, 5.8968, 1.7732,237.00
220661,187.3442,  9.988, 16.4, 1109., 8.35, 7.41,-0.9374,-16.03, 8.2423,-0.8323,169.31
  7621,187.3708,  6.770, 16.4,  862., 8.93, 8.47,-0.4632,-17.70, 8.9139,-0.4439,359.83
  7626,187.3775,  7.696, 22.9, 1095., 9.27, 8.46,-0.8120,-18.66, 9.2953,-0.8353,304.79
223724,187.3900, 13.196, 16.7, 1540., 7.29, 8.20, 0.9133,-13.59, 7.2670, 0.9330, 52.53
  7622,187.3671,  8.750, 16.4,  873., 9.98, 7.35,-2.6262,-20.68,10.1059,-2.7559,242.26
220667,187.3963, 10.793, 16.7,  297., 8.28, 8.20,-0.0753,-15.83, 8.1629, 0.0371,124.15
  7627,187.4071,  7.823, 24.2, 2675., 9.77, 9.00,-0.7731,-19.90, 9.7922,-0.7922,297.52
