agcnum,radeg,decdeg,distMpc,Vcmb,logL_V,logMH,gas2L_V,AbsMag_i,logL_i,gas2L_i
  7420,185.4792,  4.475, 24.2, 1910.,10.36,10.07,-0.2855,-21.59,10.4669,-0.3969
  7422,185.5050,  5.100, 24.2, 2226., 9.30, 8.04,-1.2594,-18.97, 9.4195,-1.3795
  7434,185.5425, 26.052, 19.5, 1311., 8.70, 8.48,-0.2247,-17.07, 8.6617,-0.1817
  7439,185.6129,  4.566, 16.6, 1622., 8.73, 9.14, 0.4093,-17.48, 8.8258, 0.3142
732098,185.6487, 24.086, 24.7, 1695., 8.45, 7.91,-0.5401,-16.52, 8.4385,-0.5285
227956,185.6321,  4.670, 34.2, 2558., 7.92, 8.39, 0.4656,-14.88, 7.7858, 0.6042
  7451,185.7758,  5.250, 24.2, 2011.,10.16, 9.10,-1.0627,-21.13,10.2847,-1.1847
220506,186.0133,  5.181, 24.2, 2393., 8.73, 8.58,-0.1451,-17.09, 8.6673,-0.0873
749235,186.0412, 26.231,  6.2,  580., 5.57, 6.78, 1.2070, -8.64, 5.2884, 1.4916
220510,186.0604,  4.226, 16.6, 1525., 8.53, 7.87,-0.6607,-16.85, 8.5739,-0.7039
220524,186.1646,  3.996, 24.2, 2069., 8.88, 8.97, 0.0881,-17.55, 8.8534, 0.1166
220538,186.2863,  4.414, 16.6, 1575., 7.68, 7.74, 0.0583,-14.41, 7.5948, 0.1452
  7505,186.3250, 26.714,  6.5,  604., 7.65, 8.09, 0.4386,-14.14, 7.4864, 0.6036
  7497,186.3254,  4.925, 24.2, 2899., 9.98, 9.21,-0.7654,-20.81,10.1545,-0.9445
749236,186.4267, 26.810,  5.9,  562., 6.91, 7.26, 0.3487,-12.33, 6.7658, 0.4942
  7521,186.4637, 27.561,  9.3, 1033., 8.51, 8.86, 0.3454,-16.68, 8.5043, 0.3557
749237,186.5975, 27.746,  7.0,  657., 7.24, 7.32, 0.0781,-13.73, 7.3257,-0.0057
