agcnum,radeg,decdeg,distMpc,Vcmb,logL_V,logMH,gas2L_V,AbsMag_i,logL_i,gas2L_i
714055,215.1854,  8.626, 22.7, 1539., 8.27, 8.57, 0.3036,-15.96, 8.2146, 0.3554
  9202,215.5446, 13.917, 36.2, 2532.,10.15, 9.44,-0.7068,-21.01,10.2369,-0.7969
  9206,215.6142, 15.085, 36.0, 2514., 9.71, 8.84,-0.8733,-19.60, 9.6717,-0.8317
240313,215.8708, 14.283, 34.8, 2423., 9.43, 9.00,-0.4271,-18.86, 9.3762,-0.3762
248932,215.9108, 14.425, 36.0, 2510., 7.91, 8.17, 0.2610,-15.01, 7.8342, 0.3358
244252,215.9321,  5.877, 23.8, 1640., 8.16, 7.73,-0.4310,-15.90, 8.1933,-0.4633
  9220,215.9558, 14.639, 36.3, 2537.,10.15, 9.29,-0.8556,-20.86,10.1765,-0.8865
248933,216.0617, 14.654, 38.3, 2684., 7.65, 8.30, 0.6547,-14.25, 7.5328, 0.7672
732931,216.0900, 26.336, 34.8, 2357., 8.54, 8.36,-0.1765,-16.71, 8.5161,-0.1561
  9225,216.1013,  8.276, 22.1, 1495., 8.60, 8.80, 0.1994,-16.87, 8.5814, 0.2186
248938,216.4867, 13.124, 32.4, 2249., 7.47, 8.26, 0.7864,-13.43, 7.2048, 1.0552
  9249,216.7492,  8.683, 23.5, 1596., 9.05, 9.19, 0.1380,-17.78, 8.9437, 0.2463
  9252,216.7950,  5.135, 26.1, 1821., 6.71, 8.57, 1.8648,-12.12, 6.6783, 1.8917
  9273,217.0454, 13.552, 22.8, 1509., 8.70, 8.43,-0.2696,-17.08, 8.6622,-0.2322
  9275,217.0771, 13.780, 22.8, 1509., 9.30, 9.50, 0.2033,-18.71, 9.3152, 0.1848
244386,217.2196, 12.582, 31.7, 2197., 8.03, 8.65, 0.6209,-15.47, 8.0192, 0.6308
  9305,217.4183,  4.063, 36.2, 2596., 8.83, 8.98, 0.1466,-17.21, 8.7163, 0.2637
249177,217.6325,  9.168, 34.7, 2447., 7.07, 8.19, 1.1152,-13.05, 7.0533, 1.1367
  9328,217.6650,  7.275, 23.4, 1596., 9.80, 9.44,-0.3603,-19.94, 9.8072,-0.3672
716018,217.7029,  7.157, 23.2, 1585., 7.72, 8.22, 0.4992,-14.63, 7.6840, 0.5360
  9345,217.9337,  6.158, 35.9, 2557., 9.18, 9.17,-0.0086,-18.15, 9.0929, 0.0771
240431,217.9683,  8.933, 34.3, 2416., 9.10, 9.20, 0.0964,-18.17, 9.1017, 0.0983
  9346,217.9892,  6.250, 36.3, 2582., 9.71, 9.82, 0.1082,-19.65, 9.6939, 0.1261
240438,218.0333,  6.189, 36.9, 2625., 8.66, 9.48, 0.8205,-16.99, 8.6299, 0.8501
249178,218.0346,  8.169, 35.5, 2506., 7.86, 8.27, 0.4098,-14.86, 7.7762, 0.4938
240441,218.0867,  9.934, 23.6, 1592., 8.73, 8.81, 0.0811,-17.36, 8.7765, 0.0335
  9352,218.1071,  8.079, 19.8, 2444., 9.72, 8.79,-0.9322,-19.82, 9.7601,-0.9701
249224,218.1263,  8.136, 33.0, 2319., 8.02, 8.23, 0.2101,-15.28, 7.9444, 0.2856
241275,218.1300, 11.552, 34.2, 2388., 7.56, 8.94, 1.3843,-12.90, 6.9933, 1.9467
  9353,218.1825,  9.891, 19.7, 1591., 9.42, 9.54, 0.1181,-19.07, 9.4603, 0.0797
241156,218.2200,  5.999, 35.2, 2503., 8.48, 9.06, 0.5793,-16.52, 8.4402, 0.6198
  9356,218.2229, 11.595, 35.0, 2446., 9.60, 9.63, 0.0345,-19.20, 9.5137, 0.1163
  9360,218.2883, 10.511, 34.9, 2446., 9.87, 9.18,-0.6912,-20.32, 9.9595,-0.7795
242165,218.3346, 26.998, 14.6, 1017., 6.46, 7.97, 1.5057,-13.03, 7.0434, 0.9266
  9364,218.3400,  6.877, 33.7, 2384., 9.29, 9.22,-0.0678,-18.55, 9.2539,-0.0339
  9363,218.3513,  4.450, 26.0, 1812., 9.57, 9.80, 0.2260,-19.59, 9.6677, 0.1323
244512,218.4050, 11.217, 30.1, 2081., 7.79, 7.90, 0.1119,-14.63, 7.6845, 0.2155
249180,218.4850, 10.795, 35.5, 2485., 7.60, 8.14, 0.5449,-14.28, 7.5421, 0.5979
  9380,218.6617,  4.260, 27.2, 1910., 8.61, 9.13, 0.5246,-16.93, 8.6031, 0.5269
244562,218.7838, 13.149, 31.1, 2139., 7.88, 8.07, 0.1947,-15.05, 7.8526, 0.2174
  9385,218.8450,  5.277, 26.7, 1862., 8.26, 9.19, 0.9295,-15.86, 8.1755, 1.0145
242042,218.8467,  9.501, 33.0, 2307., 8.28, 8.85, 0.5717,-15.51, 8.0360, 0.8140
  9389,218.8883, 12.908, 29.8, 2038., 9.57, 9.66, 0.0940,-19.16, 9.4960, 0.1640
  9394,218.9162, 13.170, 29.5, 2013., 9.15, 9.57, 0.4184,-18.06, 9.0578, 0.5122
243914,218.9208,  6.552, 38.4, 2728., 7.81, 8.62, 0.8100,-14.67, 7.6986, 0.9214
240523,219.1704, 11.577, 28.9, 1982., 8.59, 8.39,-0.1974,-16.47, 8.4200,-0.0300
  9436,219.7958,  5.363, 25.0, 1726.,10.14, 9.98,-0.1581,-21.16,10.2979,-0.3179
714204,219.8017,  9.135, 28.6, 1975., 8.47, 8.61, 0.1372,-16.75, 8.5323, 0.0777
749480,219.8467, 24.670, 30.7, 2034., 7.02, 8.46, 1.4380,-11.86, 6.5768, 1.8832
241893,219.9354,  5.353, 28.4, 1982., 8.33, 7.68,-0.6462,-16.31, 8.3552,-0.6752
249303,220.3300,  7.793, 28.6, 1981., 8.59, 8.28,-0.3123,-16.77, 8.5412,-0.2612
  9483,220.7413,  4.890, 26.6, 1850., 9.87, 9.47,-0.4018,-20.29, 9.9497,-0.4797
  9485,220.7617,  4.765, 27.5, 1916., 8.87, 9.09, 0.2216,-17.28, 8.7439, 0.3461
242618,220.8717,  4.531, 27.7, 1932., 8.37, 8.43, 0.0557,-16.08, 8.2644, 0.1656
749485,221.3338, 25.698, 21.6, 1367., 7.05, 7.71, 0.6601,-12.88, 6.9842, 0.7258
  9500,221.3392,  7.863, 27.6, 1900., 8.42, 9.21, 0.7852,-16.29, 8.3493, 0.8607
242625,221.5842,  4.733, 25.1, 1735., 7.86, 7.99, 0.1322,-14.73, 7.7240, 0.2660
242016,221.5988, 14.212, 29.4, 1988., 6.14, 9.03, 2.8865,-10.81, 6.1552, 2.8748
733094,221.6062, 27.830, 40.5, 2724., 8.07, 8.31, 0.2380,-15.57, 8.0617, 0.2483
240700,221.8683, 12.765, 29.8, 2025., 8.78, 8.41,-0.3670,-17.21, 8.7174,-0.3074
245015,222.1433,  5.431, 27.5, 1908., 8.40, 8.04,-0.3630,-15.69, 8.1098,-0.0698
  9535,222.1771, 12.457, 29.3, 1993., 9.48, 9.41,-0.0672,-19.33, 9.5649,-0.1549
249197,222.4612,  9.942, 29.4, 2010., 7.63, 8.06, 0.4319,-14.35, 7.5735, 0.4865
245076,223.1812, 11.672, 29.4, 1998., 8.41, 8.70, 0.2866,-16.22, 8.3190, 0.3810
249264,223.1796,  4.605, 26.0, 1793., 7.88, 7.83,-0.0459,-14.77, 7.7404, 0.0896
733302,224.4142, 26.665, 23.0, 1440., 8.57, 8.67, 0.0983,-16.71, 8.5161, 0.1539
736339,224.5367,  6.746, 27.1, 1855., 7.76, 7.96, 0.2021,-14.67, 7.7017, 0.2583
241727,224.6575,  6.775, 27.3, 1867., 8.69, 8.98, 0.2900,-17.12, 8.6812, 0.2988
  9676,225.8775, 27.825, 45.3, 3038., 9.22, 9.21,-0.0121,-18.52, 9.2399,-0.0299
  9739,227.2304, 25.734, 24.2, 1514., 8.66, 9.05, 0.3862,-16.92, 8.5997, 0.4503
733593,228.1696, 25.634, 24.5, 1530., 8.13, 8.50, 0.3735,-15.63, 8.0837, 0.4163
258278,228.1883,  6.164, 24.7, 1663., 7.40, 7.91, 0.5131,-13.75, 7.3338, 0.5762
749345,229.7787, 27.640, 32.3, 2074., 6.84, 8.58, 1.7382,-12.23, 6.7260, 1.8540
252596,229.9496,  3.978, 27.6, 1880., 8.14, 8.32, 0.1842,-15.31, 7.9559, 0.3641
257898,230.2475, 12.181, 20.5, 1318., 7.97, 8.12, 0.1482,-15.10, 7.8736, 0.2464
  9824,230.4854,  5.070, 14.0, 1644., 9.50, 9.17,-0.3290,-19.49, 9.6298,-0.4598
258471,230.6613,  5.829, 28.9, 1958., 6.74, 7.94, 1.2049,-12.03, 6.6431, 1.2969
  9830,230.7533,  4.529, 29.3, 1993., 9.06, 8.89,-0.1665,-18.21, 9.1162,-0.2262
258405,231.0479,  7.488, 29.3, 1973., 8.62, 8.55,-0.0707,-16.65, 8.4938, 0.0562
258126,231.0533, 11.693, 43.9, 2992., 8.96, 9.27, 0.3061,-17.69, 8.9093, 0.3607
258127,231.1371,  8.516, 29.9, 2003., 7.56, 8.46, 0.8984,-14.51, 7.6350, 0.8250
  9845,231.5225,  9.204, 33.1, 2047., 9.24, 9.35, 0.1113,-18.39, 9.1886, 0.1614
749347,231.8617, 26.541, 33.1, 2123., 7.93, 7.98, 0.0511,-15.01, 7.8373, 0.1427
251585,231.9354,  9.699, 29.5, 1964., 8.52, 7.96,-0.5578,-16.69, 8.5071,-0.5471
258413,232.2504,  7.471, 34.2, 2316., 6.80, 8.39, 1.5867,-10.45, 6.0136, 2.3764
749348,232.3712, 26.007, 33.0, 2112., 8.82, 9.32, 0.5004,-17.09, 8.6665, 0.6535
727130,232.4508, 26.088, 33.4, 2140., 8.43, 8.73, 0.2957,-16.33, 8.3636, 0.3664
252652,232.6050, 27.269, 33.5, 2141., 6.29, 8.71, 2.4205,-10.99, 6.2288, 2.4812
733735,232.7225, 27.149, 32.9, 2099., 8.74, 8.62,-0.1186,-16.93, 8.6043, 0.0157
252522,232.7754,  3.830, 28.3, 1915., 8.27, 8.73, 0.4578,-15.96, 8.2167, 0.5133
252085,232.9125, 15.592, 29.4, 1904., 8.61, 8.75, 0.1440,-16.71, 8.5173, 0.2327
253922,233.0542, 12.023, 45.8, 3110., 7.87, 8.41, 0.5400,-14.69, 7.7090, 0.7010
  9895,233.4296, 15.007, 29.5, 1912.,10.14, 9.65,-0.4864,-20.53,10.0445,-0.3945
253923,233.4954, 12.064, 41.3, 2785., 8.01, 8.08, 0.0694,-15.08, 7.8657, 0.2143
258420,233.5396,  7.192, 34.4, 2324., 7.53, 8.15, 0.6192,-14.42, 7.6012, 0.5488
  9902,233.6375, 15.133, 28.3, 1828., 7.99, 8.92, 0.9317,-15.46, 8.0147, 0.9053
  9904,233.6458, 15.200, 32.2, 2104., 9.87, 9.38,-0.4940,-20.14, 9.8865,-0.5065
257920,233.6942, 12.447, 41.9, 2824., 8.71, 8.67,-0.0381,-17.01, 8.6350, 0.0350
  9908,233.7442, 11.750, 31.0, 2039., 9.86, 9.26,-0.5964,-20.32, 9.9594,-0.6994
257921,233.7829, 12.337, 30.2, 1979., 8.32, 8.22,-0.0977,-16.09, 8.2677,-0.0477
258136,233.8229,  9.447, 43.8, 2976., 6.68, 8.65, 1.9654,-12.42, 6.8009, 1.8491
  9915,233.8467, 12.047, 30.0, 1965., 9.95, 9.71,-0.2364,-20.58,10.0644,-0.3544
257923,233.9242, 13.218, 46.9, 3173., 8.39, 9.11, 0.7167,-16.74, 8.5271, 0.5829
  9935,234.4008,  5.974, 24.1, 1587., 9.75, 9.69,-0.0640,-19.68, 9.7043,-0.0143
  9941,234.5912, 12.961, 30.5, 1992., 8.78, 9.39, 0.6065,-17.25, 8.7333, 0.6567
  9943,234.6246, 12.187, 31.8, 2087.,10.28, 9.70,-0.5777,-21.37,10.3785,-0.6785
257927,234.6525, 13.517, 38.1, 2534., 7.28, 8.40, 1.1155,-13.74, 7.3262, 1.0738
257929,234.7392, 12.549, 29.3, 1904., 7.00, 8.63, 1.6304,-13.72, 7.3211, 1.3089
749349,234.7975, 26.025, 30.6, 1920., 7.54, 8.02, 0.4797,-14.16, 7.4979, 0.5221
  9951,234.8333, 15.384, 32.7, 2130., 8.88, 9.02, 0.1355,-17.44, 8.8099, 0.2101
257930,235.0658, 14.808, 47.4, 3185., 8.67, 8.70, 0.0321,-17.06, 8.6552, 0.0448
258331,235.2762,  4.753, 31.4, 2114., 8.05, 7.76,-0.2877,-15.50, 8.0335,-0.2735
258332,235.4875,  4.580, 31.3, 2109., 7.98, 8.04, 0.0646,-15.27, 7.9406, 0.0994
258151,235.7137,  9.153, 34.3, 2281., 8.24, 8.66, 0.4201,-16.09, 8.2682, 0.3918
  9987,235.7208, 14.232, 20.0, 1228., 9.63, 9.18,-0.4533,-19.49, 9.6297,-0.4497
  9991,235.8496, 14.436, 31.7, 2057., 9.10, 9.30, 0.2038,-18.10, 9.0721, 0.2279
257937,236.3617, 16.222, 44.6, 2965., 7.90, 9.01, 1.1101,-15.65, 8.0928, 0.9172
 10009,236.4058,  4.183, 32.8, 2212., 8.63, 8.64, 0.0053,-17.07, 8.6592,-0.0192
 10021,236.4146, 28.088, 36.3, 2248., 9.66, 9.36,-0.3025,-19.63, 9.6821,-0.3221
 10014,236.4333, 12.511, 38.9, 1245., 8.78, 9.90, 1.1229,-17.06, 8.6542, 1.2458
257938,236.4525, 15.516, 36.1, 2361., 8.13, 8.40, 0.2717,-15.38, 7.9857, 0.4143
 10023,236.5408,  6.898, 23.7, 1532., 8.74, 8.96, 0.2246,-17.12, 8.6799, 0.2801
749350,236.6808, 28.162, 35.0, 2207., 7.90, 8.31, 0.4074,-14.62, 7.6792, 0.6308
257943,236.9138, 16.283, 34.2, 2212., 8.29, 8.88, 0.5904,-16.19, 8.3090, 0.5710
 10041,237.2554,  5.189, 35.8, 2294., 6.45,10.00, 3.5458,-13.05, 7.0518, 2.9482
251262,237.2571, 27.610, 35.9, 2270., 9.15, 9.27, 0.1234,-18.28, 9.1427, 0.1273
252481,237.4525, 27.138, 35.8, 2263., 8.83, 8.35,-0.4792,-17.48, 8.8231,-0.4731
258343,237.4917,  5.517, 31.2, 2072., 8.06, 8.17, 0.1099,-15.31, 7.9553, 0.2147
 10058,237.6004, 25.923, 69.5, 2240., 9.24, 9.89, 0.6466,-18.55, 9.2508, 0.6392
733791,237.7908, 25.826, 36.0, 2285., 8.25, 8.13,-0.1209,-15.94, 8.2095,-0.0795
 10061,237.8125, 16.329, 34.4, 2221., 7.93, 8.90, 0.9666,-14.18, 7.5043, 1.3957
 10083,238.5575, 14.601, 30.7, 1960., 9.94, 9.72,-0.2179,-20.50,10.0331,-0.3131
254132,239.0071, 26.284, 42.1, 2704., 8.27, 8.32, 0.0468,-15.99, 8.2267, 0.0933
258348,239.0100,  5.457, 36.2, 2421., 7.77, 8.46, 0.6854,-14.98, 7.8231, 0.6369
258349,239.1542,  5.969, 30.0, 1975., 7.77, 8.64, 0.8659,-15.17, 7.9015, 0.7385
252891,239.1533,  6.194, 31.0, 2045., 8.40, 8.73, 0.3318,-15.93, 8.2027, 0.5273
258429,239.8071,  6.787, 38.6, 2576., 8.44, 8.54, 0.0989,-16.42, 8.4003, 0.1397
258430,239.9812,  6.884, 25.9, 1665., 7.83, 8.00, 0.1668,-14.86, 7.7757, 0.2243
262396,240.0904, 11.495, 41.5, 2743., 7.72, 8.59, 0.8671,-14.60, 7.6723, 0.9177
716496,240.4517,  6.838, 28.6, 1858., 8.02, 8.47, 0.4531,-14.84, 7.7688, 0.7012
261969,241.5092,  8.507, 23.4, 1465., 8.65, 8.92, 0.2684,-16.89, 8.5900, 0.3300
261313,241.6708,  6.581, 28.7, 1852., 9.01, 8.64,-0.3719,-17.89, 8.9889,-0.3489
262533,241.7125,  8.158, 43.7, 2907., 8.82, 8.60,-0.2228,-17.44, 8.8083,-0.2083
 10210,241.8042,  7.979, 37.5, 2943., 9.96, 9.45,-0.5135,-20.40, 9.9902,-0.5402
 10219,242.0708,  7.538, 21.9, 1463., 9.37, 9.30,-0.0690,-18.86, 9.3742,-0.0742
 10225,242.3362,  8.762, 47.1, 3141., 9.68, 9.82, 0.1373,-19.70, 9.7125, 0.1075
268216,243.0854,  6.544, 28.3, 1811., 7.15, 8.34, 1.1892,-12.98, 7.0243, 1.3157
261941,244.1854, 16.086, 36.6, 2321., 7.55, 8.78, 1.2308,-14.32, 7.5605, 1.2195
 10328,244.6971,  7.411, 24.7, 1526., 7.73, 9.60, 1.8685,-14.60, 7.6708, 1.9292
 10419,247.5246, 27.700, 42.5, 2651., 8.53, 9.37, 0.8423,-16.61, 8.4775, 0.8925
268225,247.6929,  6.749, 34.2, 2192., 7.33, 8.36, 1.0296,-13.74, 7.3266, 1.0334
749369,248.1400, 27.458, 42.4, 2638., 8.59, 9.17, 0.5829,-17.18, 8.7048, 0.4652
262734,248.6029, 24.961, 19.1, 1042., 7.42, 7.35,-0.0742,-13.96, 7.4164,-0.0664
321434,341.9333, 30.753, 14.1,  525., 7.87, 7.62,-0.2491,-15.19, 7.9096,-0.2896
748719,342.1658, 14.806, 48.6, 2945., 8.07, 8.45, 0.3778,-15.19, 7.9067, 0.5433
 12205,342.4362, 15.089, 49.9, 3038., 9.06, 9.44, 0.3767,-17.86, 8.9763, 0.4637
 12212,342.6258, 29.138, 24.3,  553., 8.70, 9.34, 0.6437,-16.75, 8.5336, 0.8064
321492,343.3475, 29.014, 30.8, 1710., 7.69, 7.73, 0.0357,-14.89, 7.7874,-0.0574
321493,343.3954, 29.027, 45.3, 2731., 8.36, 8.72, 0.3595,-15.96, 8.2179, 0.5021
321166,343.9554, 14.754, 41.3, 2442., 8.27, 8.62, 0.3495,-15.78, 8.1421, 0.4779
320926,343.9937, 26.169, 39.2, 2300., 8.32, 8.92, 0.6007,-16.06, 8.2558, 0.6642
321194,344.2667, 25.725, 16.5,  701., 7.99, 8.48, 0.4911,-15.27, 7.9414, 0.5386
320466,344.3396, 27.981, 43.3, 2601., 8.33, 9.13, 0.7976,-14.97, 7.8201, 1.3099
 12270,344.5421, 14.308, 31.4, 1750., 9.47, 9.21,-0.2612,-19.10, 9.4739,-0.2639
 12308,345.3275, 14.339, 32.8, 1856., 9.36, 9.84, 0.4762,-18.71, 9.3169, 0.5231
 12340,346.1408, 27.156, 16.5,  710., 8.39, 8.71, 0.3221,-10.04, 5.8460, 2.8640
332399,346.2967, 14.063, 23.4, 1199., 8.28, 8.13,-0.1520,-16.02, 8.2382,-0.1082
332413,346.5629, 14.658, 22.9, 1171., 8.12, 8.64, 0.5230,-15.61, 8.0777, 0.5624
748756,349.5796, 16.150, 42.3, 2553., 7.81, 8.28, 0.4733,-14.98, 7.8257, 0.4543
748765,350.9312, 14.428, 50.0, 3107., 7.74, 8.63, 0.8892,-14.75, 7.7328, 0.8972
331776,351.5275, 14.264, 41.2, 2495., 6.72, 8.34, 1.6190,-11.92, 6.6019, 1.7381
 12613,352.1508, 14.743,  0.9, -547., 4.59, 6.62, 2.0283, -7.16, 4.6969, 1.9231
333310,357.4446, 24.133, 23.8, 1301., 8.07, 8.27, 0.1951,-15.52, 8.0411, 0.2289
333221,359.5896, 27.283, 41.0, 2560., 7.73, 8.60, 0.8690,-14.70, 7.7129, 0.8871
333253,359.8662, 15.024, 24.6, 1371., 7.58, 8.48, 0.9019,-10.34, 5.9670, 2.5130
 12885,359.9042, 14.807, 24.7, 1379., 9.62, 9.72, 0.1034,-19.16, 9.4961, 0.2239
